record_id,source,true_match_id,expected_bucket,case
pay_0S2YZRFvLYTCbd,gateway,INV-2026-00001,auto_resolved,timing_offset
pay_518Y2bTu5X1YqW,gateway,INV-2026-00002,auto_resolved,name_drift
pay_BpDmH5RiMKpPGN,gateway,INV-2026-00003,auto_resolved,amount_rounding
pay_S8RpLRl9XFrA62,gateway,INV-2026-00004,auto_resolved,clean
pay_GubDZzstveWEcs,gateway,,ignored,failed_payment
pay_neuDE3RYfNcYxW,gateway,INV-2026-00005,auto_resolved,name_drift
pay_5zZ5cZWlU2rcsL,gateway,INV-2026-00006,auto_resolved,name_drift
pay_HOl0amiYY5sIJ0,gateway,INV-2026-00007,escalated,fx_rounding
pay_gQBLdxmp4mabaY,gateway,,ignored,failed_payment
pay_uWzUZsStHmQX3v,gateway,INV-2026-00008,auto_resolved,timing_offset
pay_CqDGvhIvnyAuBw,gateway,INV-2026-00009,auto_resolved,name_drift
pay_qRFd3RMrmi8oTn,gateway,INV-2026-00010,auto_resolved,clean
pay_EnOCBLa2rMYmld,gateway,INV-2026-00011,auto_resolved,name_drift
pay_Z8i5hzcqtRQVJJ,gateway,,ignored,failed_payment
pay_RtSUBYv4Yne8qP,gateway,,ignored,failed_payment
pay_iOnsd624MAE86P,gateway,INV-2026-00012,auto_resolved,amount_rounding
pay_ArXxtG7gGv0LOq,gateway,INV-2026-00013,auto_resolved,amount_rounding
pay_osUVtTLfB4zEGx,gateway,INV-2026-00014,auto_resolved,clean
pay_PPy0IfyqhwUqxN,gateway,INV-2026-00015,auto_resolved,clean
pay_mcpRiPCCfOSBDr,gateway,,ignored,failed_payment
pay_6A9qQCwV2nrABa,gateway,INV-2026-00016,auto_resolved,amount_rounding
pay_xHZdxLceXKPnm4,gateway,INV-2026-00017,auto_resolved,timing_offset
pay_483BS4ez5FbLRh,gateway,INV-2026-00018,auto_resolved,timing_offset
pay_TYeoxQWhH9usd9,gateway,,ignored,failed_payment
pay_TXd4PpxNR3QHoB,gateway,,ignored,failed_payment
pay_HVhssnTJns5NZc,gateway,INV-2026-00019,escalated,fx_rounding
pay_Auyf8D6axBquKJ,gateway,,ignored,failed_payment
pay_idXKZ5BDsyqHBL,gateway,INV-2026-00020,auto_resolved,amount_rounding
pay_wTrpaO16KSQ6pM,gateway,INV-2026-00021,escalated,fx_rounding
pay_9HUVBnATOp2bq1,gateway,INV-2026-00022,auto_resolved,name_drift
pay_XCkKYgEXnXAY8Q,gateway,INV-2026-00023,auto_resolved,clean
pay_kujdQMhZgsFZi4,gateway,INV-2026-00024,auto_resolved,timing_offset
pay_Qxy435LkB2XiVp,gateway,INV-2026-00025,escalated,fx_rounding
pay_VvMwBE0W0Hrc9y,gateway,INV-2026-00026,escalated,partial_capture
pay_8D04wzInjq5Jzj,gateway,INV-2026-00027,auto_resolved,timing_offset
pay_rfwyxZJbbILofC,gateway,,ignored,failed_payment
pay_oXnlpUVQigMcWc,gateway,,ignored,failed_payment
pay_RknyuIRRj7afj5,gateway,INV-2026-00028,auto_resolved,timing_offset
pay_AzjKV65IgrHvzx,gateway,INV-2026-00029,auto_resolved,missing_pg_ref
pay_gGweRPKuu8TBNE,gateway,INV-2026-00030,auto_resolved,amount_rounding
pay_YTo3k3UAdLh0eV,gateway,INV-2026-00031,escalated,fx_rounding
pay_0jr7MjHlkR4Xjh,gateway,INV-2026-00032,auto_resolved,amount_rounding
pay_7A4dhjkuRv630p,gateway,INV-2026-00033,auto_resolved,timing_offset
pay_AUMspFhHJsUyya,gateway,INV-2026-00034,auto_resolved,clean
pay_XMRqOGqleigCCR,gateway,INV-2026-00035,auto_resolved,name_drift
pay_6I5NBldlDkCh3E,gateway,INV-2026-00036,auto_resolved,timing_offset
pay_H2MGlEOZ6qNY04,gateway,INV-2026-00037,auto_resolved,clean
pay_yeTr5RHguX1d5s,gateway,INV-2026-00038,auto_resolved,clean
pay_WNyDLzErVgpEMi,gateway,INV-2026-00039,auto_resolved,timing_offset
pay_IJQ2N9u8tBDNXK,gateway,INV-2026-00040,escalated,fx_rounding
pay_Eo8dnNzoCXB1Bh,gateway,INV-2026-00041,auto_resolved,clean
pay_kjyA6CSpJso5qf,gateway,INV-2026-00042,escalated,partial_capture
pay_ekgd2IbyVfqjO2,gateway,INV-2026-00043,auto_resolved,timing_offset
pay_3MsHarAJOCBnD3,gateway,INV-2026-00044,auto_resolved,clean
pay_Ei1L9rPzzjrqM4,gateway,INV-2026-00045,auto_resolved,timing_offset
pay_8AHkxv78JaYb3F,gateway,INV-2026-00046,escalated,partial_capture
pay_e71imARDL6KFQr,gateway,INV-2026-00047,auto_resolved,amount_rounding
pay_LeI6qccFOAs08b,gateway,INV-2026-00048,escalated,fx_rounding
pay_2pAn5643zc9TFA,gateway,,ignored,failed_payment
pay_FxAIiKpuSjjud5,gateway,INV-2026-00049,auto_resolved,name_drift
pay_REJpxYyhIKHQI7,gateway,INV-2026-00050,auto_resolved,clean
pay_8NR0Xy8ZEurHi0,gateway,INV-2026-00051,auto_resolved,clean
pay_2qFl41sNLjVHWG,gateway,INV-2026-00052,auto_resolved,clean
pay_E2AUYMLAJxNdkc,gateway,,ignored,failed_payment
pay_U4arG5RBmHWOR3,gateway,INV-2026-00053,auto_resolved,name_drift
pay_BzPoBrUBHtYDZw,gateway,INV-2026-00054,auto_resolved,timing_offset
pay_TfRNfRT8LjIcku,gateway,INV-2026-00055,auto_resolved,amount_rounding
pay_8MEFd1kjV3PhTa,gateway,INV-2026-00056,auto_resolved,name_drift
pay_jIIf94ChZESFqZ,gateway,INV-2026-00057,escalated,fx_rounding
pay_UcpMsyw8IJqF52,gateway,INV-2026-00058,escalated,fx_rounding
pay_BsRllvTrZ4Iejs,gateway,INV-2026-00059,escalated,partial_capture
pay_d6X7U8WL1gIFkh,gateway,INV-2026-00060,escalated,duplicate_ref
pay_M519XgOMzEU5gB,gateway,INV-2026-00061,auto_resolved,amount_rounding
pay_IDHPnpU2fBReId,gateway,,ignored,failed_payment
pay_79ISjs8JHUdKF0,gateway,,ignored,failed_payment
pay_81mOOBMWlsCDbk,gateway,INV-2026-00062,auto_resolved,clean
pay_e8danYlgmKG1Vt,gateway,INV-2026-00063,auto_resolved,amount_rounding
pay_45kkrl0M17EmxI,gateway,INV-2026-00064,auto_resolved,timing_offset
pay_E5GXTeLYHteOtL,gateway,INV-2026-00065,auto_resolved,amount_rounding
pay_vP8O7FRthvDJPz,gateway,INV-2026-00066,auto_resolved,timing_offset
pay_I1uTwWGxOnx3iU,gateway,INV-2026-00067,auto_resolved,timing_offset
pay_bxKl1Kvk3UQrxk,gateway,INV-2026-00068,auto_resolved,clean
pay_CLjPXRLt9h9RDZ,gateway,INV-2026-00069,auto_resolved,clean
pay_41odbJIqO3hMOB,gateway,INV-2026-00070,auto_resolved,name_drift
pay_nQjENGsB4Djh30,gateway,INV-2026-00071,auto_resolved,timing_offset
pay_SAxoCjl2VbOM63,gateway,,ignored,failed_payment
pay_OC56aMIgHFivep,gateway,INV-2026-00072,auto_resolved,missing_pg_ref
pay_QzkChMbyIbNiCd,gateway,INV-2026-00073,auto_resolved,amount_rounding
pay_veH30S5NXFhmiX,gateway,,ignored,failed_payment
pay_p7QDffAUxid7IP,gateway,,ignored,failed_payment
pay_Z65p2ohYuKyUoA,gateway,,ignored,failed_payment
pay_NI1YnhffT6Uhw0,gateway,,ignored,failed_payment
pay_euPH7M3EHMoQro,gateway,INV-2026-00074,auto_resolved,clean
pay_5LaakIREyf2OH3,gateway,INV-2026-00075,auto_resolved,clean
pay_J6iUo8k2fRN2Bq,gateway,INV-2026-00076,auto_resolved,timing_offset
pay_3tlrtBhjqaMFmv,gateway,INV-2026-00077,auto_resolved,clean
pay_X4Jyx6dxDu7Nsk,gateway,INV-2026-00078,escalated,fx_rounding
pay_mQfDkjEX6EoI9w,gateway,,ignored,failed_payment
pay_jhPInRVkLUhY7g,gateway,INV-2026-00079,escalated,fx_rounding
pay_wumVYe5VJfXRgt,gateway,INV-2026-00080,auto_resolved,clean
pay_1T1UIoWXrP5y78,gateway,INV-2026-00081,auto_resolved,clean
pay_PILOQbqV5vliOe,gateway,,ignored,failed_payment
pay_fVByODHiyXH7iP,gateway,INV-2026-00082,escalated,fx_rounding
pay_jAulA3QMr2qEwq,gateway,INV-2026-00083,auto_resolved,amount_rounding
pay_JFzSgIesCKopjD,gateway,,ignored,failed_payment
pay_xyl71f0kWrUOhE,gateway,,ignored,failed_payment
pay_0gwrGhsxsbiWA6,gateway,INV-2026-00084,auto_resolved,name_drift
pay_y5Kcnm1ys3J6xI,gateway,INV-2026-00085,auto_resolved,amount_rounding
pay_DBpQ8YxTbqKjCQ,gateway,INV-2026-00086,escalated,fx_rounding
pay_viirWz5knFZXIQ,gateway,INV-2026-00087,escalated,duplicate_ref
pay_HkOwOZGx4Gv1ED,gateway,INV-2026-00088,auto_resolved,amount_rounding
pay_T8wUm7N72Q3B7G,gateway,INV-2026-00089,auto_resolved,missing_pg_ref
pay_leOV911xCZkwPR,gateway,,ignored,failed_payment
pay_0Xv00kKXR4bR6I,gateway,INV-2026-00090,auto_resolved,amount_rounding
pay_q19Qf7W491h1pS,gateway,INV-2026-00091,auto_resolved,name_drift
pay_2De3SF3XQMhUk9,gateway,INV-2026-00092,auto_resolved,clean
pay_GQkqqjkrsWw6SE,gateway,INV-2026-00093,auto_resolved,clean
pay_aOBSMjzQ1fgUKx,gateway,INV-2026-00094,escalated,fx_rounding
pay_bV92hB0BckOW2k,gateway,INV-2026-00095,auto_resolved,timing_offset
pay_EuVx518ox1ztD4,gateway,INV-2026-00096,auto_resolved,name_drift
pay_WDFDTA7Xrc5UTI,gateway,INV-2026-00097,auto_resolved,timing_offset
pay_8A78irco0z3CUK,gateway,,ignored,failed_payment
pay_x7CHHP1QXqE7rs,gateway,INV-2026-00098,auto_resolved,clean
pay_zrAkliEFgJnmUY,gateway,INV-2026-00099,escalated,fx_rounding
pay_c06PVz0oRaFxMP,gateway,INV-2026-00100,escalated,fx_rounding
pay_T5lbbFj1hnunT6,gateway,INV-2026-00101,auto_resolved,amount_rounding
pay_H8cyV7lB2Vrks4,gateway,INV-2026-00102,auto_resolved,name_drift
pay_KIDYvf0A6zB0bi,gateway,,ignored,failed_payment
pay_QPHhalZaAHv9O5,gateway,INV-2026-00103,escalated,duplicate_ref
pay_72YJR7IVU7CCKb,gateway,INV-2026-00104,auto_resolved,clean
pay_HerohwHuPpUV0l,gateway,INV-2026-00105,escalated,fx_rounding
pay_NoK9oM3tTUMdxs,gateway,INV-2026-00106,auto_resolved,clean
pay_UxhdCzEzo2q7Pp,gateway,,ignored,failed_payment
pay_uRDr68JjJ4BQT3,gateway,INV-2026-00107,escalated,fx_rounding
pay_E40fAraVNqTIAa,gateway,INV-2026-00108,auto_resolved,clean
pay_hJyV4ZjtfbaVjM,gateway,INV-2026-00109,auto_resolved,timing_offset
pay_BIZMLhfx9IwiLy,gateway,INV-2026-00110,auto_resolved,name_drift
pay_4iCppaX3QjBvKN,gateway,INV-2026-00111,auto_resolved,clean
pay_xoNe3awtx0AHkD,gateway,,ignored,failed_payment
pay_yjQ312WnXRCI4h,gateway,INV-2026-00112,auto_resolved,timing_offset
pay_9RshuS1HzRyYWG,gateway,INV-2026-00113,auto_resolved,clean
pay_mbksf0tyEOfHl2,gateway,INV-2026-00114,escalated,fx_rounding
pay_6cv1WChGtaPxgw,gateway,INV-2026-00115,auto_resolved,timing_offset
pay_9Z8aPB4MM7Qt46,gateway,INV-2026-00116,auto_resolved,amount_rounding
pay_SwCgOawNXHxg3E,gateway,INV-2026-00117,auto_resolved,amount_rounding
pay_gYJ9ZGkjfsTCT9,gateway,INV-2026-00118,auto_resolved,clean
pay_U5iaX6fpHuyMwO,gateway,,ignored,failed_payment
