settlement_id,payment_id,settlement_amount,fees_deducted
setl_SwbOG76IatEQZn,pay_0S2YZRFvLYTCbd,5474.71,173.29
setl_SwbOG76IatEQZn,pay_518Y2bTu5X1YqW,5474.71,173.29
setl_mMhPFJ5hDEcGRK,pay_BpDmH5RiMKpPGN,76049.95,2407.05
setl_mMhPFJ5hDEcGRK,pay_S8RpLRl9XFrA62,76049.95,2407.05
setl_mMhPFJ5hDEcGRK,pay_neuDE3RYfNcYxW,76049.95,2407.05
setl_qcZntuCuugTw2Y,pay_5zZ5cZWlU2rcsL,7215.62,228.38
setl_D0GoA0c7q0RNg6,pay_uWzUZsStHmQX3v,4747.73,150.27
setl_XcvCM6hKDdTiDq,pay_CqDGvhIvnyAuBw,38929.83,1232.17
setl_XcvCM6hKDdTiDq,pay_qRFd3RMrmi8oTn,38929.83,1232.17
setl_i0G1vkiuYYAduV,pay_EnOCBLa2rMYmld,46349.01,1466.99
setl_i0G1vkiuYYAduV,pay_iOnsd624MAE86P,46349.01,1466.99
setl_FXBBskEuuTPHvK,pay_ArXxtG7gGv0LOq,15781.5,499.5
setl_FXBBskEuuTPHvK,pay_osUVtTLfB4zEGx,15781.5,499.5
setl_7XtSMlh747YAui,pay_6A9qQCwV2nrABa,3171.62,100.38
setl_7XtSMlh747YAui,pay_PPy0IfyqhwUqxN,3171.62,100.38
setl_02cXxoOo7i22ZX,pay_483BS4ez5FbLRh,515604.58,16319.42
setl_02cXxoOo7i22ZX,pay_xHZdxLceXKPnm4,515604.58,16319.42
setl_1eavcmNIlgs0Gx,pay_9HUVBnATOp2bq1,7391.07,233.93
setl_1eavcmNIlgs0Gx,pay_idXKZ5BDsyqHBL,7391.07,233.93
setl_K9EE09nBNB6Nja,pay_kujdQMhZgsFZi4,33072.23,1046.77
setl_wFTkwm7GXkHYTl,pay_8D04wzInjq5Jzj,5743.22,181.78
setl_wFTkwm7GXkHYTl,pay_VvMwBE0W0Hrc9y,5743.22,181.78
setl_dmi0asfxafpqjS,pay_AzjKV65IgrHvzx,37850.01,1197.99
setl_dmi0asfxafpqjS,pay_RknyuIRRj7afj5,37850.01,1197.99
setl_CbkDGfCW3DtUwM,pay_gGweRPKuu8TBNE,13844.8,438.2
setl_Dx16uMFWPC3ITy,pay_0jr7MjHlkR4Xjh,47444.34,1501.66
