txn_date,value_date,ref_no,debit,credit,narration,balance,bank_txn_ref
31-05-2026,31-05-2026,UTR380370543651,,5474.71,RAZORPAY SETTLEMENT setl_SwbOG76IatEQZn,5005474.71,UTR380370543651
01-06-2026,01-06-2026,UTR385011729646,,76049.95,RAZORPAY SETTLEMENT setl_mMhPFJ5hDEcGRK,5081524.66,UTR385011729646
01-06-2026,01-06-2026,UTR569276233815,3882.0,,RAZORPAY REFUND pay_0S2YZRFvLYTCbd,5077642.66,UTR569276233815
02-06-2026,02-06-2026,UTR329917059601,,7215.62,RAZORPAY SETTLEMENT setl_qcZntuCuugTw2Y,5084858.28,UTR329917059601
03-06-2026,03-06-2026,UTR687635059953,,4747.73,RAZORPAY SETTLEMENT setl_D0GoA0c7q0RNg6,5089606.01,UTR687635059953
03-06-2026,03-06-2026,UTR498912302642,1766.0,,RAZORPAY REFUND pay_518Y2bTu5X1YqW,5087840.01,UTR498912302642
04-06-2026,04-06-2026,UTR171676278373,,38929.83,RAZORPAY SETTLEMENT setl_XcvCM6hKDdTiDq,5126769.84,UTR171676278373
05-06-2026,05-06-2026,UTR763465551655,,46349.01,RAZORPAY SETTLEMENT setl_i0G1vkiuYYAduV,5173118.85,UTR763465551655
06-06-2026,06-06-2026,UTR338884109955,,15781.5,RAZORPAY SETTLEMENT setl_FXBBskEuuTPHvK,5188900.35,UTR338884109955
07-06-2026,07-06-2026,UTR875028293612,,3171.62,RAZORPAY SETTLEMENT setl_7XtSMlh747YAui,5192071.97,UTR875028293612
07-06-2026,07-06-2026,UTR708958838017,236.0,,ACCT MAINTENANCE CHARGE,5191835.97,UTR708958838017
08-06-2026,08-06-2026,UTR804441507436,,515604.58,RAZORPAY SETTLEMENT setl_02cXxoOo7i22ZX,5707440.55,UTR804441507436
10-06-2026,10-06-2026,UTR815911951246,,7391.07,RAZORPAY SETTLEMENT setl_1eavcmNIlgs0Gx,5714831.62,UTR815911951246
11-06-2026,11-06-2026,UTR898006869456,,33072.23,RAZORPAY SETTLEMENT setl_K9EE09nBNB6Nja,5747903.85,UTR898006869456
12-06-2026,12-06-2026,UTR455062876651,,5743.22,RAZORPAY SETTLEMENT setl_wFTkwm7GXkHYTl,5753647.07,UTR455062876651
13-06-2026,13-06-2026,UTR805409395391,2047.0,,RAZORPAY REFUND pay_Qxy435LkB2XiVp,5751600.07,UTR805409395391
14-06-2026,14-06-2026,UTR235702740542,,37850.01,RAZORPAY SETTLEMENT setl_dmi0asfxafpqjS,5789450.08,UTR235702740542
14-06-2026,14-06-2026,UTR689042238631,4780.0,,RAZORPAY REFUND pay_AzjKV65IgrHvzx,5784670.08,UTR689042238631
15-06-2026,15-06-2026,UTR664798246305,,13844.8,RAZORPAY SETTLEMENT setl_CbkDGfCW3DtUwM,5798514.88,UTR664798246305
16-06-2026,16-06-2026,UTR382012150325,,47444.34,RAZORPAY SETTLEMENT setl_Dx16uMFWPC3ITy,5845959.22,UTR382012150325
16-06-2026,16-06-2026,UTR692164894200,4524.0,,RAZORPAY REFUND pay_6I5NBldlDkCh3E,5841435.22,UTR692164894200
16-06-2026,16-06-2026,UTR524065061166,716.0,,RAZORPAY REFUND pay_AUMspFhHJsUyya,5840719.22,UTR524065061166
17-06-2026,17-06-2026,UTR786352546265,,159362.98,RAZORPAY SETTLEMENT setl_IlBhDdQmWT5O77,6000082.2,UTR786352546265
17-06-2026,17-06-2026,UTR738094265452,23871.0,,RAZORPAY REFUND pay_Ei1L9rPzzjrqM4,5976211.2,UTR738094265452
18-06-2026,18-06-2026,UTR682338835286,,857826.87,RAZORPAY SETTLEMENT setl_5ukJJMT27TXOKN,6834038.07,UTR682338835286
19-06-2026,19-06-2026,UTR952613252925,,209207.37,RAZORPAY SETTLEMENT setl_oIokORpJ3mItzE,7043245.44,UTR952613252925
19-06-2026,19-06-2026,UTR941327076795,2290.0,,RAZORPAY REFUND pay_8AHkxv78JaYb3F,7040955.44,UTR941327076795
19-06-2026,19-06-2026,UTR760096100339,1923.0,,RAZORPAY REFUND pay_FxAIiKpuSjjud5,7039032.44,UTR760096100339
19-06-2026,19-06-2026,UTR435269102231,89250.0,,RAZORPAY REFUND pay_Eo8dnNzoCXB1Bh,6949782.44,UTR435269102231
20-06-2026,20-06-2026,UTR629631753559,,40050.36,RAZORPAY SETTLEMENT setl_NT2nYr6JqpYWLS,6989832.8,UTR629631753559
20-06-2026,20-06-2026,UTR871284966409,4910.0,,RAZORPAY REFUND pay_LeI6qccFOAs08b,6984922.8,UTR871284966409
21-06-2026,21-06-2026,UTR213727904828,,15263.88,RAZORPAY SETTLEMENT setl_lBZ1Blkedp3DGE,7000186.68,UTR213727904828
21-06-2026,21-06-2026,UTR849254528526,202802.0,,RAZORPAY REFUND pay_REJpxYyhIKHQI7,6797384.68,UTR849254528526
21-06-2026,21-06-2026,UTR375468595071,11104.0,,RAZORPAY REFUND pay_8NR0Xy8ZEurHi0,6786280.68,UTR375468595071
22-06-2026,22-06-2026,UTR355021595241,,309293.53,RAZORPAY SETTLEMENT setl_gE3uJI4pjYUgXy,7095574.21,UTR355021595241
22-06-2026,22-06-2026,UTR989214692426,4910.0,,RAZORPAY REFUND pay_UcpMsyw8IJqF52,7090664.21,UTR989214692426
23-06-2026,23-06-2026,UTR695274810862,,23287.91,RAZORPAY SETTLEMENT setl_X1Hk2qIL62GFJv,7113952.12,UTR695274810862
23-06-2026,23-06-2026,UTR879026917000,11825.0,,RAZORPAY REFUND pay_d6X7U8WL1gIFkh,7102127.12,UTR879026917000
24-06-2026,24-06-2026,UTR290063612483,,105654.92,RAZORPAY SETTLEMENT setl_nTRxFlNydZU9Vm,7207782.04,UTR290063612483
25-06-2026,25-06-2026,UTR242884111368,,38968.61,RAZORPAY SETTLEMENT setl_rs5OY1JgeZknT3,7246750.65,UTR242884111368
26-06-2026,26-06-2026,UTR327223348851,37757.0,,RAZORPAY REFUND pay_CLjPXRLt9h9RDZ,7208993.65,UTR327223348851
