pg_payment_id,pg_order_id,captured_at,amount,currency,method,status,customer_name,fee,tax
pay_0S2YZRFvLYTCbd,order_NNXiyMtfjG8ZV0,2026-05-29T22:16:10+00:00,388200,INR,upi,refunded,Vivaan Reddy Industries,10093,1817
pay_518Y2bTu5X1YqW,order_g21nYCsXoblu17,2026-05-29T23:58:42+00:00,176600,INR,card,refunded,Vivaan Rao Pvt Ltd,4592,827
pay_BpDmH5RiMKpPGN,order_dzSgVaI5z52Dm7,2026-05-30T04:03:57+00:00,2769900,INR,card,captured,Sara Gupta Industries,72017,12963
pay_S8RpLRl9XFrA62,order_Ys16ztfeT6kdUI,2026-05-30T17:02:25+00:00,846400,INR,netbanking,captured,Dev Gupta Industries,22006,3961
pay_GubDZzstveWEcs,order_9EN406gnZi91So,2026-05-30T17:59:20+00:00,487000,INR,card,failed,Reyansh Mehta Technologies,,
pay_neuDE3RYfNcYxW,order_5u2A5hVU05NNdG,2026-05-30T18:20:41+00:00,4229400,INR,card,captured,Kabir Sharma Pvt Ltd,109964,19794
pay_5zZ5cZWlU2rcsL,order_5uCNG3iFqYuTOS,2026-05-31T05:11:05+00:00,744400,INR,card,captured,Ananya Rao Industries,19354,3484
pay_HOl0amiYY5sIJ0,order_PHxTXQeUvgoeLM,2026-06-01T13:36:59+00:00,230600,USD,netbanking,captured,Ananya Patel Technologies,5996,1079
pay_gQBLdxmp4mabaY,order_Qd7fZPScFYuMM5,2026-06-01T18:58:47+00:00,4825600,INR,card,failed,Aadhya Patel Enterprises,,
pay_uWzUZsStHmQX3v,order_8rb8M0JyK1URtb,2026-06-01T21:29:58+00:00,489800,INR,netbanking,captured,Aarav Bose Solutions,12735,2292
pay_CqDGvhIvnyAuBw,order_dx5mlkrLGgdpgh,2026-06-02T01:45:53+00:00,63500,INR,upi,captured,Diya Singh Solutions,1651,297
pay_qRFd3RMrmi8oTn,order_xYi8ROChEcrxZf,2026-06-02T04:22:25+00:00,3952700,INR,card,captured,Aadhya Kapoor Pvt Ltd,102770,18499
