invoice_no,invoice_date,party_name,party_gstin,gross_amount,tax_amount,net_amount,currency,pg_reference
INV-2026-00001,2026-05-29,Vivaan Reddy Industries,06NRAQR4047D1Z8,3882.0,592.17,3289.83,INR,order_NNXiyMtfjG8ZV0
INV-2026-00002,2026-05-29,VIVAAN RAO,07HZWNC7452Z1Z3,1766.0,269.39,1496.61,INR,order_g21nYCsXoblu17
INV-2026-00003,2026-05-30,Sara Gupta Industries,29ZXMDY0253X1Z0,27699.0,4225.27,23473.73,INR,order_dzSgVaI5z52Dm7
INV-2026-00004,2026-06-01,Dev Gupta Industries,27TXMPU6901A1Z9,8464.0,1291.12,7172.88,INR,order_Ys16ztfeT6kdUI
INV-2026-00005,2026-05-30,Kabir Sharma Pvt Ltd,06SSJTT8468F1Z6,42294.0,6451.63,35842.37,INR,order_5u2A5hVU05NNdG
INV-2026-00006,2026-05-31,Ananya Rao Industries,06FMOPW1871Z1Z0,7444.0,1135.53,6308.47,INR,order_5uCNG3iFqYuTOS
INV-2026-00007,2026-06-01,Ananya Patel Technologies,36XMEIY2693R1Z4,191859.2,29266.66,162592.54,INR,order_PHxTXQeUvgoeLM
INV-2026-00008,2026-06-01,AARAV BOSE SOLUTIONS,36FJUDB3015Y1Z1,4898.0,747.15,4150.85,INR,order_8rb8M0JyK1URtb
INV-2026-00009,2026-06-05,Diya Singh Solutions,33UWONY8676A1Z9,635.0,96.86,538.14,INR,order_dx5mlkrLGgdpgh
INV-2026-00010,2026-06-02,Aadhya Kapoor Pvt Ltd,06JVUJB7602N1Z9,39527.0,6029.54,33497.46,INR,order_xYi8ROChEcrxZf
INV-2026-00011,2026-06-03,VIVAAN JAIN,33ZBTPU0041G1Z9,44844.0,6840.61,38003.39,INR,order_vjcJLufg9krORJ
INV-2026-00012,2026-06-06,Arjun Singh LLP,07ZZJMT4021C1Z8,2972.0,453.36,2518.64,INR,order_WtzjxUD0sRX4I8
INV-2026-00013,2026-06-04,Reyansh Reddy Pvt Ltd,24DAUEI5436S1Z7,4845.0,739.07,4105.93,INR,
INV-2026-00014,2026-06-04,Dev Patel LLP,27SOTIE2807Y1Z0,11436.0,1744.47,9691.53,INR,order_dXeRzWGJk2mdcd
INV-2026-00015,2026-06-05,ROHAN GUPTA SOLUTIONS,06VAGDA6704E1Z6,2348.0,358.17,1989.83,INR,order_xPDM6uLONCROhc
INV-2026-00016,2026-06-07,Ananya Das Technologies,19MIZME0439O1Z8,924.0,140.95,783.05,INR,order_mfJbT8AepktMfD
INV-2026-00017,2026-06-08,Aarav Rao LLP,33EQLKX6125X1Z8,34477.0,5259.2,29217.8,INR,order_s4nlTUU4RRyotr
INV-2026-00018,2026-06-06,Aadhya Chauhan Industries,24TZKQE3183L1Z7,497447.0,75881.75,421565.25,INR,order_cJXRTyQ18kUxWy
INV-2026-00019,2026-06-08,Rohan Reddy Pvt Ltd,33TUGPL1509Y1Z3,171059.2,26093.78,144965.42,INR,order_CMEwMuva3lvgEf
INV-2026-00020,2026-06-08,Ananya Singh Pvt Ltd,29CGIXE2822Y1Z8,2676.0,408.2,2267.8,INR,order_3TLboP1KbVYJVk
INV-2026-00021,2026-06-08,Reyansh Iyer Enterprises,33JVNEO4845E1Z8,7904.0,1205.69,6698.31,INR,order_LmBumN1yBTAjDE
INV-2026-00022,2026-06-08,AADHYA BOSE LLP,07VKEND8639Z1Z0,4949.0,754.93,4194.07,INR,order_f1hYnTQ1LAMWYX
INV-2026-00023,2026-06-09,Reyansh Das Enterprises,29YLZPH5104P1Z7,3017.0,460.22,2556.78,INR,order_u8JiZXVKuhizRI
INV-2026-00024,2026-06-09,Sara Nair LLP,33CHHET4704J1Z7,34119.0,5204.59,28914.41,INR,order_bAjOo2x2Zgkgg7
INV-2026-00025,2026-06-10,Arjun Nair Technologies,19BRAQS4079E1Z5,185253.5,28259.01,156994.49,INR,order_zmss5ClWZfGRFQ
INV-2026-00026,2026-06-10,ROHAN MEHTA INDUSTRIES,36VFXMY5486H1Z7,4618.0,704.44,3913.56,INR,order_oUf0fueXDnXOsX
INV-2026-00027,2026-06-10,Kabir Nair Enterprises,33EAPVU5933H1Z3,1307.0,199.37,1107.63,INR,order_uxZEOQpY7NEkXk
INV-2026-00028,2026-06-12,Ishani Patel Pvt Ltd,36KCYFT7262S1Z5,34268.0,5227.32,29040.68,INR,order_Adnecx9MGSL6YN
INV-2026-00029,2026-06-12,Aadhya Iyer LLP,33LZCWN3991V1Z0,4780.0,729.15,4050.85,INR,
INV-2026-00030,2026-06-14,Vihaan Singh Solutions,33GMCYT1221N1Z2,14283.0,2178.76,12104.24,INR,order_tRI3MwPYxTslaR
INV-2026-00031,2026-06-13,Aarav Gupta Industries,06IJMSX0223I1Z2,158579.2,24190.05,134389.15,INR,order_L05tRx9JmpBrmk
INV-2026-00032,2026-06-14,Rohan Nair Technologies,06CCSQL2962X1Z0,2860.0,436.27,2423.73,INR,order_9JBwmRP8jB8Hhb
INV-2026-00033,2026-06-14,Kabir Jain Technologies,27POOLI5658W1Z2,1990.0,303.56,1686.44,INR,order_NIhsHFk6jOSL0I
INV-2026-00034,2026-06-14,Dev Kapoor Industries,24NPWTD4659B1Z0,716.0,109.22,606.78,INR,order_Y2CddZOugsDudT
INV-2026-00035,2026-06-16,Kiara Gupta Enterprises,29DEJUB8252Z1Z6,38856.0,5927.19,32928.81,INR,order_Etj8b8rhBafanA
INV-2026-00036,2026-06-14,ISHANI NAIR,19TFNIN1365E1Z2,4524.0,690.1,3833.9,INR,order_B9ICgSjvmrZUYI
